"","Author","Functions","n"
"1","alyssafrazee","a",3
"2","alyssafrazee","actionButton",3
"3","alyssafrazee","any",3
"4","alyssafrazee","append",6
"5","alyssafrazee","as.numeric",12
"6","alyssafrazee","c",21
"7","alyssafrazee","card",12
"8","alyssafrazee","cat",6
"9","alyssafrazee","check_all",3
"10","alyssafrazee","checkBid",9
"11","alyssafrazee","checkboxInput",3
"12","alyssafrazee","checkCommittee",3
"13","alyssafrazee","checkfunc",3
"14","alyssafrazee","class",6
"15","alyssafrazee","colnames",6
"16","alyssafrazee","column",3
"17","alyssafrazee","combn",3
"18","alyssafrazee","compare",12
"19","alyssafrazee","compareBids",6
"20","alyssafrazee","conditionalPanel",3
"21","alyssafrazee","data.frame",3
"22","alyssafrazee","deal",6
"23","alyssafrazee","eval",3
"24","alyssafrazee","expand.grid",6
"25","alyssafrazee","findCard",6
"26","alyssafrazee","fluidPage",3
"27","alyssafrazee","fluidRow",3
"28","alyssafrazee","h2",3
"29","alyssafrazee","h4",3
"30","alyssafrazee","h5",3
"31","alyssafrazee","h6",3
"32","alyssafrazee","hr",3
"33","alyssafrazee","htmlOutput",3
"34","alyssafrazee","ifelse",9
"35","alyssafrazee","is.na",6
"36","alyssafrazee","is.null",15
"37","alyssafrazee","isolate",3
"38","alyssafrazee","lapply",9
"39","alyssafrazee","length",24
"40","alyssafrazee","library",6
"41","alyssafrazee","list",18
"42","alyssafrazee","makeBids",6
"43","alyssafrazee","makeDeck",9
"44","alyssafrazee","matrix",6
"45","alyssafrazee","message",12
"46","alyssafrazee","myDept",3
"47","alyssafrazee","names",9
"48","alyssafrazee","nchar",9
"49","alyssafrazee","ncol",3
"50","alyssafrazee","new",6
"51","alyssafrazee","nrow",6
"52","alyssafrazee","number",12
"53","alyssafrazee","p",3
"54","alyssafrazee","parse",3
"55","alyssafrazee","paste",18
"56","alyssafrazee","paste0",15
"57","alyssafrazee","play500",3
"58","alyssafrazee","print",9
"59","alyssafrazee","rbind",9
"60","alyssafrazee","reactive",3
"61","alyssafrazee","readline",12
"62","alyssafrazee","renderText",3
"63","alyssafrazee","renderUI",3
"64","alyssafrazee","representation",6
"65","alyssafrazee","return",36
"66","alyssafrazee","rownames",6
"67","alyssafrazee","sample",6
"68","alyssafrazee","sapply",12
"69","alyssafrazee","selectInput",6
"70","alyssafrazee","seq",6
"71","alyssafrazee","setClass",6
