"","Functions","n"
"1","c",3106
"2","library",2436
"3","list",1864
"4","length",1444
"5","frame",1437
"6","return",1224
"7","names",1139
"8","paste0",956
"9","paste",945
"10","ggplot",890
"11","aes",886
"12","seq",864
"13","rep",861
"14","numeric",830
"15","null",817
"16","matrix",812
"17","lapply",752
"18","nrow",735
"19","character",729
"20","sapply",718
"21","plot",694
"22","csv",683
"23","source",673
"24","table",669
"25","sum",645
"26","na",641
"27","factor",632
"28","load",609
"29","which",558
"30","max",557
"31","geom_point",515
"32","print",505
"33","theme_bw",501
"34","stop",496
"35","theme",492
"36","unique",480
"37","mean",473
"38","gsub",468
"39","par",463
"40","ggsave",452
"41","cbind",446
"42","require",419
"43","colnames",412
"44","labs",411
"45","unlist",410
"46","all",408
"47","subset",394
"48","min",393
"49","off",392
"50","setwd",383
"51","seed",379
"52","cat",376
"53","ggtitle",373
"54","sample",369
"55","summary",362
"56","element_blank",361
"57","save",361
"58","ifelse",358
"59","rbind",358
"60","head",347
"61","exists",344
"62","ncol",342
"63","sprintf",341
"64","element_text",336
"65","mutate",331
"66","order",324
"67","filter",316
"68","rownames",316
"69","vector",313
"70","scale_y_continuous",311
"71","message",305
"72","t",304
"73","round",303
"74","strsplit",292
"75","pdf",287
"76","apply",278
"77","geom_line",277
"78","stopifnot",274
"79","Date",273
"80","grep",268
"81","structure",267
"82","select",257
"83","group_by",256
"84","inherits",255
"85","merge",250
"86","fluidPage",242
"87","rnorm",242
"88","predict",241
"89","f",240
"90","sort",239
"91","ylab",237
"92","log",236
"93","time",234
"94","Filter",233
"95","call",232
"96","scale_x_continuous",232
"97","dim",229
"98","text",228
"99","Negate",226
"100","gar_api_generator",224
"101","rmNullObs",224
"102","xlab",223
"103","class",218
"104","packages",218
"105","rm",218
"106","with",217
"107","integer",214
"108","sqrt",213
"109","map",211
"110","rel",208
"111","grepl",207
"112","arrange",203
"113","options",201
"114","data",200
"115","readLines",197
"116","path",194
"117","melt",188
"118","",186
"119","mainPanel",184
"120","range",181
"121","reactive",181
"122","abs",180
"123","plotOutput",180
"124","file",179
"125","shinyApp",179
"126","renderPlot",178
"127","lines",175
"128","sidebarPanel",175
"129","diff",173
"130","ddply",169
"131","any",168
"132","facet_wrap",164
"133","match",162
"134","exp",161
"135","runif",157
"136","levels",156
"137","points",155
"138","selectInput",155
"139","new",153
"140","geom_text",151
"141","brocolors",148
"142","lm",146
"143","ls",146
"144","attr",144
"145","abline",141
"146","test",140
"147","element_line",139
"148","sidebarLayout",139
"149","summarise",137
"150","titlePanel",137
"151","geom_bar",135
"152","rename",135
"153","seq_along",133
"154","str",133
"155","expression",132
"156","quantile",127
"157","sliderInput",127
"158","sub",125
"159","qplot",123
"160","diag",122
"161","get",121
"162","shinyServer",120
"163","tolower",120
"164","geom_smooth",118
"165","rect",118
"166","rev",118
"167","files",117
"168","pal",117
"169","shinyUI",115
"170","writeLines",115
"171","format",114
"172","hist",114
"173","tryCatch",114
"174","create",113
"175","reorder",113
"176","read_csv",109
"177","system",109
"178","scale_fill_manual",108
"179","substr",108
"180","warning",107
"181","nchar",106
"182","readRDS",105
"183","invisible",104
"184","median",104
"185","aes_string",101
"186","str_c",99
"187","geno",98
"188","conf_fun_reduced",96
"189","is",96
"190","omit",96
"191","rowSums",96
"192","unit",96
"193","grid",95
"194","sd",95
"195","textInput",95
"196","dataTableOutput",94
"197","legend",93
"198","eval",91
"199","png",91
"200","cumsum",90
"201","fluidRow",90
"202","geom_hline",90
"203","left_join",90
"204","renderDataTable",90
"205","column",89
"206","cor",89
"207","sleep",89
"208","Call",88
"209","setdiff",88
"210","close",87
"211","str_replace_all",87
"212","duplicated",86
"213","arrangeGrob",85
"214","element_rect",85
"215","actionButton",84
"216","arg",83
"217","coef",83
"218","geom_vline",83
"219","delim",82
"220","facet_grid",82
"221","fromJSON",82
"222","ceiling",81
"223","coord_flip",81
"224","n",81
"225","opts",81
"226","parse",81
"227","assign",80
"228","checkboxInput",80
"229","try",80
"230","gpar",79
"231","rgb",79
"232","setMethod",78
"233","tail",78
"234","title",78
"235","br",76
"236","theme_set",76
"237","tree",76
"238","dbConnect",75
"239","gather",75
"240","renderText",75
"241","renderUI",75
"242","switch",75
"243","glm",74
"244","textGrob",74
"245","uiOutput",74
"246","dnorm",73
"247","floor",73
"248","arrows",70
"249","axis",70
"250","count",68
"251","train",67
"252","colSums",66
"253","geom_histogram",66
"254","hr",66
"255","import",66
"256","set",66
"257","textOutput",66
"258","year",66
"259","geom_boxplot",65
"260","observeEvent",65
"261","annotate",64
"262","callAPI",64
"263","numericInput",64
"264","dir",63
"265","I",63
"266","layout",62
"267","POSIXct",62
"268","scan",62
"269","segments",62
"270","missing",61
"271","aggregate",60
"272","tabPanel",60
"273","ungroup",60
"274","download",59
"275","GET",59
"276","split",59
"277","fortify",58
"278","geom_density",58
"279","HTML",58
"280","scale_colour_manual",58
"281","scale_x_date",58
"282","scale_x_discrete",58
"283","scanone",58
"284","CRS",57
"285","datatable",57
"286","desc",57
"287","geom_segment",57
"288","getwd",57
"289","log10",57
"290","observe",57
"291","cross",56
"292","cut",56
"293","genoprob",56
"294","summarize",56
"295","ylim",56
"296","ymd",56
"297","icon",55
"298","tempfile",55
"299","info",54
"300","performance",54
"301","seq_len",54
"302","req",53
"303","a",52
"304","df",52
"305","dist",52
"306","geom_polygon",52
"307","proj4string",52
"308","remove",52
"309","saveRDS",52
"310","signature",52
"311","suppressWarnings",52
"312","data_frame",51
"313","rbinom",51
"314","rowMeans",51
"315","dbGetQuery",50
"316","env",50
"317","intersect",50
"318","getOption",49
"319","readOGR",49
"320","textConnection",49
"321","tibble",49
"322","attributes",48
"323","barplot",48
"324","dta",48
"325","logical",48
"326","renderPrint",48
"327","set_valid_wd",48
"328","test_that",48
"329","countrycode",47
"330","dimnames",47
"331","gc",47
"332","scale_color_manual",47
"333","xlim",47
"334","getURL",46
"335","install_github",46
"336","str_detect",46
"337","str_replace",46
"338","tagList",46
"339","verbatimTextOutput",46
"340","write_csv",46
"341","div",45
"342","unlink",45
"343","coord_map",44
"344","guides",44
"345","p",44
"346","tapply",44
"347","copy",43
"348","h3",43
"349","mtext",43
"350","phylo",43
"351","setNames",43
"352","tbl_df",43
"353","basename",42
"354","bbox",42
"355","density",42
"356","DropNA",42
"357","fun",42
"358","h4",42
"359","toTitleCase",42
"360","bind_rows",41
"361","box",41
"362","colMeans",41
"363","content",41
"364","coordinates",41
"365","cos",41
"366","isolate",41
"367","lag",41
"368","boxplot",40
"369","dbDisconnect",40
"370","image",40
"371","binomial",39
"372","checkboxGroupInput",39
"373","glimpse",39
"374","library_install",39
"375","prediction",39
"376","replicate",39
"377","solve",39
"378","tri",39
"379","xtable",39
"380","array",38
"381","environment",38
"382","expect_equal",38
"383","exprs",38
"384","join",38
"385","local",38
