"","biblioteka","czestosc","kategoria"
"1","methods",0.61,"A"
"2","stats",0.43,"A"
"3","utils",0.37,"A"
"4","Biobase",0.29,"A"
"5","graphics",0.27,"A"
"6","GenomicRanges",0.25,"A"
"7","IRanges",0.25,"A"
"8","S4Vectors",0.24,"A"
"9","grDevices",0.22,"A"
"10","BiocGenerics",0.21,"A"
"11","ggplot2",0.18,"A"
"12","limma",0.13,"A"
"13","GenomeInfoDb",0.12,"A"
"14","parallel",0.12,"A"
"15","AnnotationDbi",0.11,"A"
"16","Rsamtools",0.11,"A"
"17","SummarizedExperiment",0.11,"A"
"18","Biostrings",0.11,"A"
"19","Rcpp",0.1,"A"
"20","RColorBrewer",0.09,"A"
"21","BiocParallel",0.09,"A"
"22","grid",0.08,"A"
"23","reshape2",0.08,"A"
"24","rtracklayer",0.08,"A"
"25","plyr",0.07,"A"
"26","data.table",0.07,"A"
"27","matrixStats",0.07,"A"
"28","dplyr",0.06,"A"
"29","GenomicAlignments",0.06,"A"
"30","Matrix",0.06,"A"
"31","stringr",0.06,"A"
"32","gplots",0.06,"A"
"33","graph",0.06,"A"
"34","lattice",0.06,"A"
"35","affy",0.05,"A"
"36","foreach",0.05,"A"
"37","edgeR",0.05,"A"
"38","GenomicFeatures",0.05,"A"
"39","DBI",0.05,"A"
"40","igraph",0.05,"A"
"41","MASS",0.05,"A"
"42","RCurl",0.04,"A"
"43","tools",0.04,"A"
"44","gtools",0.04,"A"
"45","XML",0.04,"A"
"46","biomaRt",0.04,"A"
"47","cluster",0.04,"A"
"48","doParallel",0.04,"A"
"49","locfit",0.04,"A"
"50","DNAcopy",0.04,"A"
"51","shiny",0.04,"A"
"52","BSgenome",0.03,"A"
"53","genefilter",0.03,"A"
"54","gridExtra",0.03,"A"
"55","RBGL",0.03,"A"
"56","DESeq2",0.03,"A"
"57","e1071",0.03,"A"
"58","jsonlite",0.03,"A"
"59","knitr",0.03,"A"
"60","RSQLite",0.03,"A"
"61","scales",0.03,"A"
"62","tidyr",0.03,"A"
"63","mvtnorm",0.03,"A"
"64","R(>=",0.03,"A"
"65","rmarkdown",0.03,"A"
"66","DT",0.03,"A"
"67","magrittr",0.03,"A"
"68","VariantAnnotation",0.03,"A"
"69","BiocInstaller",0.02,"A"
"70","httr",0.02,"A"
"71","multtest",0.02,"A"
"72","GSEABase",0.02,"A"
"73","Gviz",0.02,"A"
"74","Hmisc",0.02,"A"
"75","preprocessCore",0.02,"A"
"76","R.utils",0.02,"A"
"77","Rgraphviz",0.02,"A"
"78","ShortRead",0.02,"A"
"79","stats4",0.02,"A"
"80","survival",0.02,"A"
"81","sva",0.02,"A"
"82","xtable",0.02,"A"
"83","annotate",0.02,"A"
"84","mclust",0.02,"A"
"85","org.Hs.eg.db",0.02,"A"
"86","qvalue",0.02,"A"
"87","splines",0.02,"A"
"88","XVector",0.02,"A"
"89","zlibbioc",0.02,"A"
"90","BiocStyle",0.02,"A"
"91","circlize",0.02,"A"
"92","DelayedArray",0.02,"A"
"93","ggrepel",0.02,"A"
"94","GO.db",0.02,"A"
"95","KernSmooth",0.02,"A"
"96","randomForest",0.02,"A"
"97","seqinr",0.02,"A"
"98","tcltk",0.02,"A"
"99","vsn",0.02,"A"
"100","coda",0.01,"A"
"101","corrplot",0.01,"A"
"102","cowplot",0.01,"A"
"103","flowCore",0.01,"A"
"104","gcrma",0.01,"A"
"105","GEOquery",0.01,"A"
"106","hwriter",0.01,"A"
"107","readr",0.01,"A"
"108","reshape",0.01,"A"
"109","rhdf5",0.01,"A"
"110","rjson",0.01,"A"
"111","VGAM",0.01,"A"
"112","affyio",0.01,"A"
"113","CellNOptR",0.01,"A"
"114","clusterProfiler",0.01,"A"
"115","corpcor",0.01,"A"
"116","DESeq",0.01,"A"
"117","digest",0.01,"A"
"118","fdrtool",0.01,"A"
"119","ff",0.01,"A"
"120","geneplotter",0.01,"A"
"121","ggbio",0.01,"A"
"122","glmnet",0.01,"A"
"123","hash",0.01,"A"
"124","latticeExtra",0.01,"A"
"125","marray",0.01,"A"
"126","minfi",0.01,"A"
"127","NMF",0.01,"A"
"128","oligo",0.01,"A"
"129","oligoClasses",0.01,"A"
"130","openxlsx",0.01,"A"
"131","org.Mm.eg.db",0.01,"A"
"132","scatterplot3d",0.01,"A"
"133","SingleCellExperiment",0.01,"A"
"134","snow",0.01,"A"
"135","tibble",0.01,"A"
"136","topGO",0.01,"A"
"137","yaml",0.01,"A"
"138","a4Core",0.01,"A"
"139","a4Preproc",0.01,"A"
"140","abind",0.01,"A"
"141","affxparser",0.01,"A"
"142","affyPLM",0.01,"A"
"143","amap",0.01,"A"
"144","AnnotationHub",0.01,"A"
"145","ape",0.01,"A"
"146","assertthat",0.01,"A"
"147","BH",0.01,"A"
"148","biovizBase",0.01,"A"
"149","calibrate",0.01,"A"
"150","CGHbase",0.01,"A"
"151","ChIPpeakAnno",0.01,"A"
"152","clue",0.01,"A"
"153","ComplexHeatmap",0.01,"A"
"154","ConsensusClusterPlus",0.01,"A"
"155","d3heatmap",0.01,"A"
"156","devtools",0.01,"A"
"157","DOSE",0.01,"A"
"158","ensembldb",0.01,"A"
"159","exomeCopy",0.01,"A"
"160","futile.logger",0.01,"A"
"161","ggthemes",0.01,"A"
"162","gtable",0.01,"A"
"163","HDF5Array",0.01,"A"
"164","infotheo",0.01,"A"
"165","KEGG.db",0.01,"A"
"166","kernlab",0.01,"A"
"167","lazyeval",0.01,"A"
"168","pheatmap",0.01,"A"
"169","pracma",0.01,"A"
"170","psych",0.01,"A"
"171","purrr",0.01,"A"
"172","R",0.01,"A"
"173","R2HTML",0.01,"A"
"174","RcppArmadillo",0.01,"A"
"175","RcppRoll",0.01,"A"
"176","Rhtslib",0.01,"A"
"177","ROCR",0.01,"A"
"178","RUnit",0.01,"A"
"179","samr",0.01,"A"
"180","shinydashboard",0.01,"A"
"181","siggenes",0.01,"A"
"182","slam",0.01,"A"
"183","statmod",0.01,"A"
"184","stringdist",0.01,"A"
"185","stringi",0.01,"A"
"186","TxDb.Hsapiens.UCSC.hg19.knownGene",0.01,"A"
"187","WGCNA",0.01,"A"
"188","aCGH",0.01,"A"
"189","annaffy",0.01,"A"
"190","AnnotationFilter",0.01,"A"
"191","bamsignals",0.01,"A"
"192","baySeq",0.01,"A"
"193","beanplot",0.01,"A"
"194","bigmemory",0.01,"A"
"195","BiocFileCache",0.01,"A"
"196","biocViews",0.01,"A"
"197","bitops",0.01,"A"
"198","biwt",0.01,"A"
"199","bookdown",0.01,"A"
"200","broom",0.01,"A"
"201","BSgenome.Hsapiens.UCSC.hg19",0.01,"A"
"202","bumphunter",0.01,"A"
"203","caret",0.01,"A"
"204","caTools",0.01,"A"
"205","cgdsr",0.01,"A"
"206","changepoint",0.01,"A"
"207","chipseq",0.01,"A"
"208","class",0.01,"A"
"209","colorspace",0.01,"A"
"210","doRNG",0.01,"A"
"211","drc",0.01,"A"
"212","EBImage",0.01,"A"
"213","ellipse",0.01,"A"
"214","enrichplot",0.01,"A"
"215","FactoMineR",0.01,"A"
"216","fastcluster",0.01,"A"
"217","fBasics",0.01,"A"
"218","fgsea",0.01,"A"
"219","fields",0.01,"A"
"220","Formula",0.01,"A"
"221","gdata",0.01,"A"
"222","geNetClassifier",0.01,"A"
"223","GenomicFiles",0.01,"A"
"224","ggdendro",0.01,"A"
"225","ggvis",0.01,"A"
"226","GOSemSim",0.01,"A"
"227","GOstats",0.01,"A"
"228","gRbase",0.01,"A"
"229","gridBase",0.01,"A"
"230","hexbin",0.01,"A"
"231","htmltools",0.01,"A"
"232","htmlwidgets",0.01,"A"
"233","httpuv(>=",0.01,"A"
"234","hypergraph",0.01,"A"
"235","idr",0.01,"A"
"236","illuminaio",0.01,"A"
"237","impute",0.01,"A"
"238","iterators",0.01,"A"
"239","KEGGgraph",0.01,"A"
"240","KEGGREST",0.01,"A"
"241","limSolve",0.01,"A"
"242","lsa",0.01,"A"
"243","lumi",0.01,"A"
"244","maptpx",0.01,"A"
"245","mgcv",0.01,"A"
"246","minet",0.01,"A"
"247","miniUI",0.01,"A"
"248","motifStack",0.01,"A"
"249","msm",0.01,"A"
"250","MSnbase",0.01,"A"
"251","MultiAssayExperiment",0.01,"A"
"252","nlme",0.01,"A"
"253","nor1mix",0.01,"A"
"254","Nozzle.R1",0.01,"A"
"255","pander",0.01,"A"
"256","pathview",0.01,"A"
"257","pbapply",0.01,"A"
"258","pcaMethods",0.01,"A"
"259","pdist",0.01,"A"
"260","permute",0.01,"A"
"261","plotly",0.01,"A"
"262","plotrix",0.01,"A"
"263","prada",0.01,"A"
"264","prettydoc",0.01,"A"
"265","quantreg",0.01,"A"
"266","R.methodsS3",0.01,"A"
"267","rappdirs",0.01,"A"
"268","RCircos",0.01,"A"
"269","RcppEigen",0.01,"A"
"270","RcppParallel",0.01,"A"
"271","reactome.db",0.01,"A"
"272","readxl",0.01,"A"
"273","regioneR",0.01,"A"
"274","rgl",0.01,"A"
"275","rJava",0.01,"A"
"276","RJSONIO",0.01,"A"
"277","rlang",0.01,"A"
"278","RMySQL",0.01,"A"
"279","rpart",0.01,"A"
"280","Rtsne",0.01,"A"
"281","shinyjs",0.01,"A"
"282","simpleaffy",0.01,"A"
"283","sm",0.01,"A"
"284","snowfall",0.01,"A"
"285","tkrplot",0.01,"A"
"286","tmle",0.01,"A"
"287","TxDb.Mmusculus.UCSC.mm9.knownGene",0.01,"A"
"288","vegan",0.01,"A"
"289","vioplot",0.01,"A"
"290","viridis",0.01,"A"
"291","wateRmelon",0.01,"A"
"292","WriteXLS",0.01,"A"
"293","xcms",0.01,"A"
"294","a4Base",0,"A"
"295","a4Classif",0,"A"
"296","a4Reporting",0,"A"
"297","ABAData",0,"A"
"298","acde",0,"A"
"299","ade4",0,"A"
"300","affyContam",0,"A"
"301","affydata",0,"A"
"302","agricolae",0,"A"
"303","AhoCorasickTrie",0,"A"
"304","AlgDesign",0,"A"
"305","ALL",0,"A"
"306","ALS",0,"A"
"307","AneuFinderData",0,"A"
"308","AnnotationForge",0,"A"
"309","AnnotationFuncs",0,"A"
"310","annotationTools",0,"A"
"311","annotatr",0,"A"
"312","apcluster",0,"A"
"313","aplpack",0,"A"
"314","ArgumentCheck",0,"A"
"315","arm",0,"A"
"316","ARRmData",0,"A"
"317","arules",0,"A"
"318","base",0,"A"
"319","base64enc",0,"A"
"320","BBmisc",0,"A"
"321","bc3net",0,"A"
"322","beadarray",0,"A"
"323","beadarray(>=",0,"A"
"324","BeadDataPackR",0,"A"
"325","betareg",0,"A"
"326","biganalytics",0,"A"
"327","binom",0,"A"
"328","Biobase(>=",0,"A"
"329","biotmleData",0,"A"
"330","bit",0,"A"
"331","boot",0,"A"
"332","boot(>=",0,"A"
"333","breastCancerVDX",0,"A"
"334","brglm",0,"A"
"335","BrowserViz",0,"A"
"336","BSgenome.Drerio.UCSC.danRer7",0,"A"
"337","BSgenome.Ecoli.NCBI.20080805",0,"A"
"338","BSgenome.Hsapiens.UCSC.hg38",0,"A"
"339","BSgenome.Mmusculus.UCSC.mm10",0,"A"
"340","BSgenome.Mmusculus.UCSC.mm9",0,"A"
"341","bsseq",0,"A"
"342","BufferedMatrix",0,"A"
"343","Cairo",0,"A"
"344","capushe",0,"A"
"345","Category",0,"A"
"346","cba",0,"A"
"347","ccaPP",0,"A"
"348","ccdata",0,"A"
"349","ccmap",0,"A"
"350","CCP",0,"A"
"351","cgdsr(>=",0,"A"
"352","CGHcall",0,"A"
"353","ChAMPdata",0,"A"
