"","Author","Repo","Packages"
"1","alyssafrazee","committeeChecker2","shiny"
"2","amunategui","BetterCrossValidation","caret"
"3","amunategui","Exploring-Data-With-Correlations","caret"
"4","amunategui","Exploring-Data-With-Correlations","psych"
"5","amunategui","FSCARET-Feature-Selection-On-Steroids","fscaret"
"6","amunategui","FSCARET-Feature-Selection-On-Steroids","caret"
"7","amunategui","google-trends-walkthrough","ggplot2"
"8","amunategui","MultinomWalkThru","nnet"
"9","amunategui","MultinomWalkThru","caret"
"10","amunategui","MultinomWalkThru","RCurl"
"11","amunategui","MultinomWalkThru","Metrics"
"12","amunategui","pubmed-query","RISmed"
"13","amunategui","quantmod-wallstreet","quantmod"
"14","amunategui","quantmod-wallstreet","xts"
"15","amunategui","quantmod-wallstreet","xgboost"
"16","amunategui","quantmod-wallstreet","pROC"
"17","amunategui","R-to-Vowpal-Input-File-Maker","caret"
"18","amunategui","SimpleEnsembleBlending","caret"
"19","amunategui","SimpleEnsembleBlending","RCurl"
"20","amunategui","SimpleEnsembleBlending","pROC"
"21","amunategui","SMOTE-Oversample-Rare-Events","caret"
"22","amunategui","SMOTE-Oversample-Rare-Events","pROC"
"23","amunategui","SMOTE-Oversample-Rare-Events","DMwR"
"24","amunategui","Sparse-Matrices-And-GLMNET-Demo","Matrix"
"25","amunategui","string-distance-on-large-factors","RCurl"
"26","amunategui","string-distance-on-large-factors","stringdist"
"27","amunategui","ZipToZipInMiles","zipcode"
"28","amunategui","ZipToZipInMiles","Imap"
"29","bcaffo","ADtrialPower","shiny"
"30","bcaffo","ADtrialPower","shinyIncubator"
"31","bcaffo","ADtrialPower","lme4"
"32","bcaffo","ADtrialPower","mvtnorm"
"33","bcaffo","aiScratch","keras"
"34","bcaffo","aiScratch","jpeg"
"35","bcaffo","aiScratch","tidyverse"
"36","bcaffo","brisk","fmri"
"37","bcaffo","brisk","AnalyzeFMRI"
"38","bcaffo","brisk","rgl"
"39","bcaffo","brisk","misc3d"
"40","bcaffo","brisk","shiny"
"41","bcaffo","brisk","rsfmriGraph"
"42","bcaffo","Caffo-Coursera","rgl"
"43","bcaffo","Caffo-Coursera","mvtnorm"
"44","bcaffo","pta","randomForest"
"45","bcaffo","pta","shiny"
"46","bcaffo","spectTubeFitting","stats"
"47","bcaffo","spectTubeFitting","graphics"
"48","bcaffo","spectTubeFitting","AnalyzeFMRI"
"49","bcaffo","spectTubeFitting","splines"
"50","bcaffo","spectTubeFitting","rgl"
"51","bcaffo","spectTubeFitting","scatterplot3d"
"52","benmarwick","2016-05-20-uow","readxl"
"53","benmarwick","2016-05-20-uow","dplyr"
"54","benmarwick","2016-05-20-uow","tidyr"
"55","benmarwick","2016-05-20-uow","ggplot2"
"56","benmarwick","2016-05-20-uow","plotly"
"57","benmarwick","2016-05-20-uow","wesanderson"
"58","benmarwick","2016-05-20-uow","viridis"
"59","benmarwick","2016-05-20-uow","scales"
"60","benmarwick","2016-05-20-uow","PMCMR"
"61","benmarwick","2017-06-07-uow","readr"
"62","benmarwick","2017-06-07-uow","tidyverse"
"63","benmarwick","2017-06-07-uow","plotly"
"64","benmarwick","2017-06-07-uow","numOSL"
"65","benmarwick","2017-06-07-uow","dplyr"
"66","benmarwick","2017-06-07-uow","tidyr"
"67","benmarwick","2017-06-07-uow","ggplot2"
"68","benmarwick","2017-06-07-uow","scales"
"69","benmarwick","2017-06-07-uow","sp"
"70","benmarwick","2017-06-07-uow","rgeos"
"71","benmarwick","berlinsummerschoolkeynote","tidyverse"
"72","benmarwick","berlinsummerschoolkeynote","stringr"
"73","benmarwick","berlinsummerschoolkeynote","ggplot2"
"74","benmarwick","berlinsummerschoolkeynote","ggforce"
"75","benmarwick","berlinsummerschoolkeynote","stringi"
"76","benmarwick","berlinsummerschoolkeynote","tm"
"77","benmarwick","berlinsummerschoolkeynote","slam"
"78","benmarwick","berlinsummerschoolkeynote","""qgraph"""
"79","benmarwick","berlinsummerschoolkeynote","dplyr"
"80","benmarwick","berlinsummerschoolkeynote","jsonlite"
"81","benmarwick","berlinsummerschoolkeynote","ggrepel"
"82","benmarwick","coda-r-webinar","readr"
"83","benmarwick","coda-r-webinar","readxl"
"84","benmarwick","coda-r-webinar","purrr"
"85","benmarwick","coda-r-webinar","dplyr"
"86","benmarwick","coda-r-webinar","scales"
"87","benmarwick","coda-r-webinar","ggforce"
"88","benmarwick","coda-r-webinar","ggpmisc"
"89","benmarwick","coda-r-webinar","broom"
"90","benmarwick","coda-r-webinar","FSA"
"91","benmarwick","scopusarchaeology","plyr"
"92","benmarwick","scopusarchaeology","dplyr"
"93","benmarwick","scopusarchaeology","purrr"
"94","benmarwick","scopusarchaeology","ggplot2"
"95","benmarwick","scopusarchaeology","tidytext"
"96","benmarwick","scopusarchaeology","wordcloud"
"97","benmarwick","scopusarchaeology","viridis"
"98","benmarwick","scopusarchaeology","DT"
"99","benmarwick","scopusarchaeology","shiny"
"100","briatte","ggtable","ggplot2"
"101","briatte","ida","ggplot2"
"102","briatte","ida","""ggplot2"""
"103","briatte","ida","reshape"
"104","cboettig","notes","""analogsea"""
"105","cboettig","sandbox","knitcitations"
"106","cboettig","sandbox","gsubfn"
"107","cboettig","sandbox","rfisheries"
"108","cboettig","sandbox","plyr"
"109","cboettig","sandbox","reshape2"
"110","cboettig","sandbox","ggplot2"
"111","cboettig","sandbox","data.table"
"112","cboettig","sandbox","RCurl"
"113","cboettig","sandbox","RJSONIO"
"114","cboettig","sandbox","ROAuth"
"115","cboettig","sandbox","twitteR"
"116","christophergandrud","eu_ms_statistical_agency_tenure","rio"
"117","christophergandrud","eu_ms_statistical_agency_tenure","dplyr"
"118","christophergandrud","eu_ms_statistical_agency_tenure","countrycode"
"119","christophergandrud","eu_ms_statistical_agency_tenure","DataCombine"
"120","christophergandrud","eu_ms_statistical_agency_tenure","lubridate"
"121","christophergandrud","eu_ms_statistical_agency_tenure","ggplot2"
"122","christophergandrud","eu_ms_statistical_agency_tenure","tidyr"
"123","christophergandrud","financial_crisis_fiscal_policy","rio"
"124","christophergandrud","financial_crisis_fiscal_policy","dplyr"
"125","christophergandrud","financial_crisis_fiscal_policy","lubridate"
"126","christophergandrud","financial_crisis_fiscal_policy","DataCombine"
"127","christophergandrud","financial_crisis_fiscal_policy","ggplot2"
"128","christophergandrud","financial_crisis_fiscal_policy","tidyr"
"129","christophergandrud","financial_crisis_fiscal_policy","countrycode"
"130","christophergandrud","financial_crisis_fiscal_policy","psData"
"131","christophergandrud","financial_crisis_fiscal_policy","WDI"
"132","christophergandrud","financial_crisis_fiscal_policy","plm"
"133","christophergandrud","financial_crisis_fiscal_policy","stringr"
"134","christophergandrud","financial_crisis_fiscal_policy","stargazer"
"135","christophergandrud","financial_crisis_fiscal_policy","xtable"
"136","christophergandrud","financial_crisis_fiscal_policy","gridExtra"
"137","christophergandrud","financial_crisis_fiscal_policy","devtools"
"138","christophergandrud","GuaranteeGame","ggplot2"
"139","christophergandrud","GuaranteeGame","gridExtra"
"140","christophergandrud","Keefer2007Replication","foreign"
"141","christophergandrud","Keefer2007Replication","DataCombine"
"142","christophergandrud","Keefer2007Replication","countrycode"
"143","christophergandrud","Keefer2007Replication","dplyr"
"144","christophergandrud","Keefer2007Replication","xtable"
"145","christophergandrud","Keefer2007Replication","ggplot2"
"146","christophergandrud","Keefer2007Replication","gridExtra"
"147","christophergandrud","Keefer2007Replication","psData"
"148","christophergandrud","Keefer2007Replication","forecast"
"149","christophergandrud","Keefer2007Replication","repmis"
"150","christophergandrud","Keefer2007Replication","WDI"
"151","christophergandrud","macropru","rio"
"152","christophergandrud","macropru","repmis"
"153","christophergandrud","macropru","dplyr"
"154","christophergandrud","macropru","DataCombine"
"155","christophergandrud","macropru","arm"
"156","christophergandrud","macropru","texreg"
"157","christophergandrud","macropru","lubridate"
"158","christophergandrud","macropru","countrycode"
"159","christophergandrud","macropru","tidyr"
"160","christophergandrud","macropru","stringr"
"161","christophergandrud","macropru","psData"
"162","christophergandrud","macropru","WDI"
"163","christophergandrud","macropru","foreign"
"164","christophergandrud","macropru","R.cache"
"165","christophergandrud","macropru","imfr"
"166","christophergandrud","macropru","zoo"
"167","christophergandrud","macropru","fredr) # if not installed use devtools::install_github('christophergandrud/fredr'"
"168","christophergandrud","macropru","ggplot2"
"169","christophergandrud","macropru","rio); library(repmis"
"170","christophergandrud","macropru","devtools"
"171","christophergandrud","macropru","rstan"
"172","christophergandrud","macropru","parallel"
"173","christophergandrud","macropru","gridExtra"
"174","christophergandrud","macropru","simGLM"
"175","christophergandrud","macropru","xtable"
"176","christophergandrud","macropru","corrplot"
"177","christophergandrud","macropru","Amelia"
"178","christophergandrud","macropru","randomForestSRC"
"179","christophergandrud","macropru","ggRandomForests"
"180","christophergandrud","predicting_finstress","simpleSetup"
"181","christophergandrud","ref_2014_IR_PoliSci","repmis"
"182","christophergandrud","ref_2014_IR_PoliSci","dplyr"
"183","christophergandrud","ref_2014_IR_PoliSci","rio"
"184","christophergandrud","ref_2014_IR_PoliSci","tidyr"
"185","christophergandrud","ref_2014_IR_PoliSci","DataCombine"
"186","christophergandrud","ref_2014_IR_PoliSci","stringr"
"187","christophergandrud","Rep-Res-Examples","repmis"
"188","christophergandrud","Rep-Res-Examples","Zelig"
"189","christophergandrud","Rep-Res-Examples","ggplot2"
"190","christophergandrud","Rep-Res-Examples","countrycode"
"191","christophergandrud","Rep-Res-Examples","WDI"
"192","christophergandrud","Rep-Res-Examples","dplyr"
"193","christophergandrud","Rep-Res-Examples","devtools"
"194","christophergandrud","Rep-Res-Examples","googleVis"
"195","christophergandrud","Rep-Res-Examples","tidyr"
"196","christophergandrud","Rep-Res-Examples","xtable"
"197","christophergandrud","Rep-Res-Examples","slidify"
"198","christophergandrud","tlsl_monte_carlo_experiments","simpleSetup"
"199","christophergandrud","tlsl_monte_carlo_experiments","xtable"
"200","christophergandrud","tlsl_monte_carlo_experiments","ggplot2"
"201","christophergandrud","unnecessary","tidyverse"
"202","christophergandrud","unnecessary","magrittr"
"203","christophergandrud","yrcurnt_corrected","psData"
"204","christophergandrud","yrcurnt_corrected","DataCombine"
"205","christophergandrud","yrcurnt_corrected","countrycode"
"206","christophergandrud","yrcurnt_corrected","dplyr"
"207","christophergandrud","yrcurnt_corrected","rio"
"208","cpsievert","2016election","dplyr"
"209","cpsievert","2016election","readr"
"210","cpsievert","2016election","stringr"
"211","cpsievert","2016election","tidyr"
"212","cpsievert","2016election","readxl"
"213","cpsievert","2016election","plotly"
"214","cpsievert","2016election","crosstalk"
"215","cpsievert","2016election","htmltools"
"216","cpsievert","2016election","tourr"
"217","cpsievert","2016election","uselections"
"218","cpsievert","FFapp","XML"
"219","cpsievert","FFapp","plyr"
"220","cpsievert","FFapp","shiny"
"221","cpsievert","FFapp","rCharts"
"222","cpsievert","HOFmodel","coda"
"223","cpsievert","HOFmodel","arm"
"224","cpsievert","madness","plyr"
"225","cpsievert","madness","reshape2"
"226","cpsievert","madness","rstan"
"227","cpsievert","madness","XML"
"228","cpsievert","madness","lubridate"
"229","cpsievert","madness","RCurl"
"230","cpsievert","madness","gdata"
"231","cpsievert","madness","stringr"
"232","cpsievert","madness","reshape"
"233","cpsievert","mona","plotly"
"234","cpsievert","test_app","shiny"
"235","cpsievert","test_app","RSelenium"
"236","cpsievert","test_app","testthat"
"237","cpsievert","zero-inflated-hrs","""rvest"""
"238","cpsievert","zero-inflated-hrs","""dplyr"""
"239","cpsievert","zero-inflated-hrs","""coda"""
"240","cpsievert","zero-inflated-hrs","""xtable"""
"241","crazyhottommy","building-data-products","shiny"
"242","crazyhottommy","getting_and_cleaning_data_course_project","dplyr"
"243","crazyhottommy","phantompeakqualtools","spp"
"244","cwickham","data-science-in-tidyverse-solutions","purrr"
"245","cwickham","data-science-in-tidyverse-solutions","here"
"246","cwickham","fifa-leagues","stringr"
"247","cwickham","fifa-leagues","dplyr"
"248","cwickham","fifa-leagues","ggplot2"
"249","cwickham","flights","plyr"
"250","cwickham","purrr-tutorial","purrr"
"251","cwickham","purrr-tutorial","repurrrsive"
"252","cwickham","purrr-tutorial","tidyverse"
"253","cwickham","purrr-tutorial","rwars"
"254","cwickham","purrr-tutorial","readr"
"255","cwickham","purrr-tutorial","neiss"
"256","cwickham","purrr-tutorial","lubridate"
"257","cwickham","purrr-tutorial","tibble"
"258","cwickham","purrr-tutorial","dplyr"
"259","cwickham","wilcoxon","ggplot2"
"260","cwickham","wilcoxon","ggvis"
"261","cwickham","wilcoxon","dplyr"
"262","cwickham","wilcoxon","shinythemes"
"263","daattali","advanced-shiny","shiny"
"264","daattali","shiny-server","plotly"
"265","daattali","shiny-server","dplyr"
"266","daattali","shiny-server","magrittr"
"267","daattali","shiny-server","jsonlite"
"268","daattali","shiny-server","data.table"
"269","daattali","shiny-server","rvest"
"270","daattali","shiny-server","shiny"
"271","daattali","shiny-server","digest"
"272","daattali","shiny-server","DBI"
"273","daattali","shiny-server","RMySQL"
"274","daattali","shiny-server","RSQLite"
"275","daattali","shiny-server","mongolite"
"276","daattali","shiny-server","googlesheets"
"277","daattali","shiny-server","aws.s3"
"278","daattali","shiny-server","rdrop2"
"279","daattali","shiny-server","shinyjs"
"280","daattali","stat540-2014-attali-dean","plyr"
"281","daattali","stat540-2014-attali-dean","ggplot2"
"282","daattali","stat540-2014-attali-dean","reshape2"
"283","daattali","stat540-2014-attali-dean","MASS"
"284","daattali","stat540-2014-attali-dean","reshape"
"285","daattali","stat540-2014-attali-dean","car"
"286","daattali","stat540-2014-attali-dean","limma"
"287","daattali","stat540-2014-attali-dean","e1071"
"288","daattali","stat540-2014-attali-dean","glmnet"
"289","daattali","stat540-2014-attali-dean","ROCR"
"290","daattali","stat540-2014-attali-dean","CMA"
"291","daattali","stat540-2014-attali-dean","GEOquery"
"292","daattali","stat540-2014-attali-dean","lattice"
"293","daattali","stat540-2014-attali-dean","edgeR"
"294","daattali","stat540-2014-attali-dean","DESeq"
"295","daattali","stat540-2014-attali-dean","wateRmelon"
"296","daattali","stat540-2014-attali-dean","IlluminaHumanMethylation450k.db"
"297","daattali","stat540-2014-attali-dean","gplots"
"298","daattali","stat540-2014-attali-dean","RColorBrewer"
"299","daattali","stat540-2014-attali-dean","cluster"
"300","daattali","stat540-2014-attali-dean","pvclust"
"301","daattali","stat540-2014-attali-dean","xtable"
"302","daattali","useR2017","shiny"
"303","daattali","useR2017","ggplot2"
"304","daattali","useR2017","magrittr"
"305","daattali","useR2017","rvest"
"306","dgrtwo","BarSeqG3","methods"
"307","dgrtwo","BarSeqG3","plyr"
"308","dgrtwo","BarSeqG3","GSEABase"
"309","dgrtwo","BarSeqG3","data.table"
"310","dgrtwo","BarSeqG3","org.Sc.sgd.db"
"311","dgrtwo","BarSeqG3","GO.db"
"312","dgrtwo","BarSeqG3","ggplot2"
"313","dgrtwo","BarSeqG3","reshape"
"314","dgrtwo","BarSeqG3","xtable"
"315","dgrtwo","BarSeqG3","edgeR"
"316","dgrtwo","BarSeqG3","eigenR2"
"317","dgrtwo","BarSeqG3","DESeq"
"318","dgrtwo","BarSeqG3","gplots"
"319","dgrtwo","BarSeqG3","colorRamps"
"320","dgrtwo","BarSeqG3","scales"
"321","dgrtwo","BarSeqG3","gridExtra"
"322","dgrtwo","BarSeqG3","grid"
"323","dgrtwo","BarSeqG3","qvalue"
"324","dgrtwo","cranview","shiny"
"325","dgrtwo","cranview","stringr"
"326","dgrtwo","cranview","dplyr"
"327","dgrtwo","cranview","ggplot2"
"328","dgrtwo","cranview","lubridate"
"329","dgrtwo","cranview","cranlogs"
"330","dgrtwo","cranview","zoo"
"331","dgrtwo","cranview","scales"
"332","dgrtwo","cranview","httr"
"333","dgrtwo","cranview","jsonlite"
"334","dgrtwo","love-actually-network","shiny"
"335","dgrtwo","love-actually-network","ggplot2"
"336","dgrtwo","love-actually-network","networkD3"
"337","dgrtwo","love-actually-network","dplyr"
"338","dgrtwo","love-actually-network","reshape2"
"339","dgrtwo","providence-viewer","shiny"
"340","dgrtwo","providence-viewer","reshape2"
"341","dgrtwo","providence-viewer","plyr"
"342","dgrtwo","providence-viewer","dplyr"
"343","dgrtwo","providence-viewer","ggplot2"
