"","biblioteka","czestosc","kategoria"
"1","methods",0.61,"A"
"2","stats",0.43,"A"
"3","utils",0.37,"A"
"4","Biobase",0.29,"A"
"5","graphics",0.27,"A"
"6","GenomicRanges",0.25,"A"
"7","IRanges",0.25,"A"
"8","S4Vectors",0.24,"A"
"9","grDevices",0.22,"A"
"10","BiocGenerics",0.21,"A"
"11","ggplot2",0.18,"A"
"12","limma",0.13,"A"
"13","GenomeInfoDb",0.12,"A"
"14","parallel",0.12,"A"
"15","AnnotationDbi",0.11,"A"
"16","Rsamtools",0.11,"A"
"17","SummarizedExperiment",0.11,"A"
"18","Biostrings",0.11,"A"
"19","Rcpp",0.1,"A"
"20","RColorBrewer",0.09,"A"
"21","BiocParallel",0.09,"A"
"22","grid",0.08,"A"
"23","reshape2",0.08,"A"
"24","rtracklayer",0.08,"A"
"25","plyr",0.07,"A"
"26","data.table",0.07,"A"
"27","matrixStats",0.07,"A"
"28","dplyr",0.06,"A"
"29","GenomicAlignments",0.06,"A"
"30","Matrix",0.06,"A"
"31","stringr",0.06,"A"
"32","gplots",0.06,"A"
"33","graph",0.06,"A"
"34","lattice",0.06,"A"
"35","affy",0.05,"A"
"36","foreach",0.05,"A"
"37","edgeR",0.05,"A"
"38","GenomicFeatures",0.05,"A"
"39","DBI",0.05,"A"
"40","igraph",0.05,"A"
"41","MASS",0.05,"A"
"42","RCurl",0.04,"A"
"43","tools",0.04,"A"
"44","gtools",0.04,"A"
"45","XML",0.04,"A"
"46","biomaRt",0.04,"A"
"47","cluster",0.04,"A"
"48","doParallel",0.04,"A"
"49","locfit",0.04,"A"
"50","DNAcopy",0.04,"A"
"51","shiny",0.04,"A"
"52","ggplot2",0.0681244743,"B"
"53","dplyr",0.0475189235,"B"
"54","shiny",0.0399495374,"B"
"55","stringr",0.0277544155,"B"
"56","lubridate",0.0252312868,"B"
"57","scales",0.019764508,"B"
"58","plyr",0.0185029437,"B"
"59","readr",0.0147182506,"B"
"60","data.table",0.0142977292,"B"
"61","tidyr",0.0134566863,"B"
"62","tidyverse",0.0134566863,"B"
"63","reshape2",0.012195122,"B"
"64","caret",0.0105130362,"B"
"65","RColorBrewer",0.0105130362,"B"
"66","gridExtra",0.0100925147,"B"
"67","jsonlite",0.0096719933,"B"
"68","ggmap",0.0084104289,"B"
"69","magrittr",0.0084104289,"B"
"70","reshape",0.0084104289,"B"
"71","grid",0.0071488646,"B"
"72","httr",0.0071488646,"B"
"73","knitr",0.0071488646,"B"
"74","XML",0.0071488646,"B"
"75","purrr",0.0067283431,"B"
"76","rgdal",0.0067283431,"B"
"77","testthat",0.0067283431,"B"
"78","xgboost",0.0067283431,"B"
"79","xtable",0.0067283431,"B"
"80","maptools",0.0063078217,"B"
"81","leaflet",0.0058873003,"B"
"82","parallel",0.0058873003,"B"
"83","RCurl",0.0058873003,"B"
"84","shinydashboard",0.0058873003,"B"
"85","viridis",0.0058873003,"B"
"86","devtools",0.0054667788,"B"
"87","MASS",0.0054667788,"B"
"88","zoo",0.0054667788,"B"
"89","igraph",0.0050462574,"B"
"90","sp",0.0050462574,"B"
"91","broman",0.0046257359,"B"
"92","foreign",0.0046257359,"B"
"93","maps",0.0046257359,"B"
"94","rvest",0.0046257359,"B"
"95","animation",0.0042052145,"B"
"96","car",0.0042052145,"B"
"97","h2o",0.0042052145,"B"
"98","qtl",0.0042052145,"B"
"99","randomForest",0.0042052145,"B"
"100","directlabels",0.003784693,"B"
"101","DT",0.003784693,"B"
"102","Matrix",0.003784693,"B"
"103","readxl",0.003784693,"B"
"104","RMySQL",0.003784693,"B"
