"","funkcja","czestosc","kategoria"
"1","return",0.86,"A"
"2","length",0.83,"A"
"3","stop",0.81,"A"
"4","paste",0.72,"A"
"5","c",0.72,"A"
"6","which",0.67,"A"
"7","sum",0.66,"A"
"8","rep",0.66,"A"
"9","list",0.64,"A"
"10","names",0.64,"A"
"11","unlist",0.63,"A"
"12","nrow",0.62,"A"
"13","unique",0.62,"A"
"14","rownames",0.59,"A"
"15","is.null",0.57,"A"
"16","t",0.5,"A"
"17","ncol",0.49,"A"
"18","is.na",0.48,"A"
"19","sapply",0.47,"A"
"20","setMethod",0.46,"A"
"21","matrix",0.45,"A"
"22","warning",0.44,"A"
"23","plot",0.44,"A"
"24","seq",0.41,"A"
"25","colnames",0.4,"A"
"26","max",0.39,"A"
"27","order",0.36,"A"
"28","min",0.35,"A"
"29","par",0.35,"A"
"30","lapply",0.35,"A"
"31","strsplit",0.34,"A"
"32","intersect",0.33,"A"
"33","round",0.33,"A"
"34","sort",0.32,"A"
"35","new",0.31,"A"
"36","table",0.3,"A"
"37","data.frame",0.29,"A"
"38","print",0.29,"A"
"39","setdiff",0.29,"A"
"40","vector",0.29,"A"
"41","message",0.28,"A"
"42","rbind",0.28,"A"
"43","sqrt",0.28,"A"
"44","is",0.26,"A"
"45","setGeneric",0.26,"A"
"46","as.character",0.25,"A"
"47","cat",0.25,"A"
"48","paste0",0.25,"A"
"49","signature",0.25,"A"
"50","cbind",0.24,"A"
"51","split",0.24,"A"
"52","missing",0.24,"A"
"53","seq_len",0.23,"A"
"54","apply",0.22,"A"
"55","text",0.22,"A"
"56","lines",0.21,"A"
"57","seq_along",0.21,"A"
"58","setClass",0.21,"A"
"59","stopifnot",0.21,"A"
"60","rowSums",0.2,"A"
"61","switch",0.2,"A"
"62","write.table",0.2,"A"
"63","as.numeric",0.2,"A"
"64","dev.off",0.2,"A"
"65","dim",0.2,"A"
"66","legend",0.2,"A"
"67","match",0.19,"A"
"68","mean",0.19,"A"
"69","standardGeneric",0.19,"A"
"70","abline",0.19,"A"
"71","class",0.19,"A"
"72","read.table",0.19,"A"
"73","ifelse",0.19,"A"
"74","points",0.19,"A"
"75","sample",0.18,"A"
"76","quantile",0.18,"A"
"77","start",0.18,"A"
"78","substr",0.18,"A"
"79","do.call",0.17,"A"
"80","match.arg",0.17,"A"
"81","median",0.17,"A"
"82","any",0.17,"A"
"83","sprintf",0.17,"A"
"84","gsub",0.17,"A"
"85","suppressWarnings",0.16,"A"
"86","as",0.16,"A"
"87","as.integer",0.16,"A"
"88","abs",0.15,"A"
"89","sub",0.15,"A"
"90","as.matrix",0.15,"A"
"91","nchar",0.15,"A"
"92","end",0.15,"A"
"93","rev",0.15,"A"
"94","which.max",0.15,"A"
"95","log",0.15,"A"
"96","pdf",0.15,"A"
"97","axis",0.14,"A"
"98","seqnames",0.14,"A"
"99","tryCatch",0.14,"A"
"100","try",0.14,"A"
"101","representation",0.14,"A"
"102","grep",0.13,"A"
"103","invisible",0.13,"A"
"104","IRanges",0.13,"A"
"105","rowMeans",0.13,"A"
"106","range",0.13,"A"
"107","rm",0.13,"A"
"108","union",0.13,"A"
"109","all",0.13,"A"
"110","as.data.frame",0.13,"A"
"111","head",0.13,"A"
"112","as.vector",0.12,"A"
"113","is.numeric",0.12,"A"
"114","factor",0.12,"A"
"115","system.file",0.12,"A"
"116","width",0.12,"A"
"117","floor",0.12,"A"
"118","file.exists",0.11,"A"
"119","file.path",0.11,"A"
"120","sd",0.11,"A"
"121","ggplot",0.11,"A"
"122","p.adjust",0.11,"A"
"123","rainbow",0.11,"A"
"124","rgb",0.11,"A"
"125","setReplaceMethod",0.11,"A"
"126","tail",0.11,"A"
"127","theme",0.11,"A"
"128","tolower",0.11,"A"
"129","require",0.11,"A"
"130",".Call",0.11,"A"
"131","cor",0.11,"A"
"132","mtext",0.11,"A"
"133","options",0.11,"A"
"134","predict",0.11,"A"
"135","tapply",0.11,"A"
"136","GRanges",0.1,"A"
"137","mcols",0.1,"A"
"138","pData",0.1,"A"
"139","row.names",0.1,"A"
"140","runif",0.1,"A"
"141","which.min",0.1,"A"
"142","colorRampPalette",0.1,"A"
"143","is.character",0.1,"A"
"144","is.matrix",0.1,"A"
"145","title",0.1,"A"
"146","hist",0.1,"A"
"147","strand",0.1,"A"
"148","ceiling",0.1,"A"
"149","hclust",0.1,"A"
"150","slot",0.1,"A"
"151","lm",0.09,"A"
"152","readLines",0.09,"A"
"153","subset",0.09,"A"
"154","brewer.pal",0.09,"A"
"155","levels",0.09,"A"
"156","rect",0.09,"A"
"157","sampleNames",0.09,"A"
"158","summary",0.09,"A"
"159","xlab",0.09,"A"
"160","ylab",0.09,"A"
"161","new.env",0.09,"A"
"162","on.exit",0.09,"A"
"163","unname",0.09,"A"
"164","na.omit",0.09,"A"
"165","substitute",0.09,"A"
"166","data",0.08,"A"
"167","duplicated",0.08,"A"
"168","pmax",0.08,"A"
"169","Sys.time",0.08,"A"
"170","dir.create",0.08,"A"
"171","exprs",0.08,"A"
"172","segments",0.08,"A"
"173","log2",0.08,"A"
"174","png",0.08,"A"
"175","select",0.08,"A"
"176","vapply",0.08,"A"
"177","exp",0.08,"A"
"178","get",0.08,"A"
"179","numeric",0.08,"A"
"180","unlink",0.08,"A"
"181","is.data.frame",0.07,"A"
"182","setValidity",0.07,"A"
"183","var",0.07,"A"
"184","dist",0.07,"A"
"185","set.seed",0.07,"A"
"186","writeLines",0.07,"A"
"187","labs",0.07,"A"
"188","layout",0.07,"A"
"189","pnorm",0.07,"A"
"190","ranges",0.07,"A"
"191","sign",0.07,"A"
"192","unit",0.07,"A"
"193","character",0.07,"A"
"194","identical",0.07,"A"
"195","packageStartupMessage",0.07,"A"
"196","pmin",0.07,"A"
"197","rnorm",0.07,"A"
"198","seqlevels",0.07,"A"
"199","as.factor",0.06,"A"
"200","cumsum",0.06,"A"
"201","log10",0.06,"A"
"202","density",0.06,"A"
"203","geom_point",0.06,"A"
"204","ggtitle",0.06,"A"
"205","grepl",0.06,"A"
"206","inherits",0.06,"A"
"207","is.list",0.06,"A"
"208","is.vector",0.06,"A"
"209","setNames",0.06,"A"
"210","validObject",0.06,"A"
"211","with",0.06,"A"
"212","is.logical",0.06,"A"
"213","polygon",0.06,"A"
"214","seqlengths",0.06,"A"
"215","theme_bw",0.06,"A"
"216","toupper",0.06,"A"
"217","barplot",0.06,"A"
"218","mapply",0.06,"A"
"219","model.matrix",0.06,"A"
"220","packageDescription",0.06,"A"
"221","save",0.06,"A"
"222","slotNames",0.06,"A"
"223","substring",0.06,"A"
"224","sweep",0.06,"A"
"225","tempfile",0.06,"A"
"226","close",0.05,"A"
"227","diag",0.05,"A"
"228","exists",0.05,"A"
"229","getOption",0.05,"A"
"230","getwd",0.05,"A"
"231","image",0.05,"A"
"232","integer",0.05,"A"
"233","qnorm",0.05,"A"
"234","reduce",0.05,"A"
"235","show",0.05,"A"
"236","signif",0.05,"A"
"237","txtProgressBar",0.05,"A"
"238","as.list",0.05,"A"
"239","attr",0.05,"A"
"240","boxplot",0.05,"A"
"241","melt",0.05,"A"
"242","read.delim",0.05,"A"
"243","setTxtProgressBar",0.05,"A"
"244","setwd",0.05,"A"
"245","subjectHits",0.05,"A"
"246","system",0.05,"A"
"247","capture.output",0.05,"A"
"248","dimnames",0.05,"A"
"249","merge",0.05,"A"
"250","plot.new",0.05,"A"
"251","queryHits",0.05,"A"
"252","Rle",0.05,"A"
"253","scale",0.05,"A"
"254","as.double",0.05,"A"
"255","diff",0.05,"A"
"256","element_text",0.05,"A"
"257","file",0.05,"A"
"258","findOverlaps",0.05,"A"
"259","packageVersion",0.05,"A"
"260","scan",0.05,"A"
"261","ScanBamParam",0.05,"A"
"262","write",0.05,"A"
"263","colSums",0.04,"A"
"264","combn",0.04,"A"
"265","loess",0.04,"A"
"266","prod",0.04,"A"
"267","rank",0.04,"A"
"268","seqinfo",0.04,"A"
"269","setAs",0.04,"A"
"270","shift",0.04,"A"
"271","as.dist",0.04,"A"
"272","download.file",0.04,"A"
"273","eval",0.04,"A"
"274","format",0.04,"A"
"275","is.factor",0.04,"A"
"276","isTRUE",0.04,"A"
"277","pchisq",0.04,"A"
"278","setequal",0.04,"A"
"279","structure",0.04,"A"
"280","strwrap",0.04,"A"
"281","tempdir",0.04,"A"
"282","box",0.04,"A"
"283","callNextMethod",0.04,"A"
"284","col2rgb",0.04,"A"
"285","cut",0.04,"A"
"286","DataFrame",0.04,"A"
"287","featureNames",0.04,"A"
"288","filter",0.04,"A"
"289","globalVariables",0.04,"A"
"290","interactive",0.04,"A"
"291","is.finite",0.04,"A"
"292","ls",0.04,"A"
"293","mad",0.04,"A"
"294","match.call",0.04,"A"
"295","phenoData",0.04,"A"
"296","Reduce",0.04,"A"
"297","requireNamespace",0.04,"A"
"298","scale_y_continuous",0.04,"A"
"299","suppressMessages",0.04,"A"
"300","Sys.getenv",0.04,"A"
"301","viewport",0.04,"A"
"302","assign",0.04,"A"
"303","list.files",0.04,"A"
"304","pushViewport",0.04,"A"
"305","read.csv",0.04,"A"
"306","scale_fill_manual",0.04,"A"
"307","scanBamFlag",0.04,"A"
"308","setOldClass",0.04,"A"
"309","stopCluster",0.04,"A"
"310","toString",0.04,"A"
"311","upper.tri",0.04,"A"
"312","array",0.03,"A"
"313","dnorm",0.03,"A"
"314","geom_line",0.03,"A"
"315","GRangesList",0.03,"A"
"316","guides",0.03,"A"
"317","is.element",0.03,"A"
"318","is.infinite",0.03,"A"
"319","matplot",0.03,"A"
"320","mclapply",0.03,"A"
"321","nlevels",0.03,"A"
"322","order.dendrogram",0.03,"A"
"323","parse",0.03,"A"
"324","prcomp",0.03,"A"
"325","rbinom",0.03,"A"
"326","rep.int",0.03,"A"
"327","sQuote",0.03,"A"
"328","typeof",0.03,"A"
"329","values",0.03,"A"
"330","aes",0.03,"A"
"331","basename",0.03,"A"
"332","emptyenv",0.03,"A"
"333","gc",0.03,"A"
"334","heat.colors",0.03,"A"
"335","jpeg",0.03,"A"
"336","load",0.03,"A"
"337","metadata",0.03,"A"
"338","mutate",0.03,"A"
"339","parent.frame",0.03,"A"
"340","pt",0.03,"A"
"341","rgamma",0.03,"A"
"342","solve",0.03,"A"
"343","t.test",0.03,"A"
"344","unclass",0.03,"A"
"345","append",0.03,"A"
"346","as.formula",0.03,"A"
"347","browseURL",0.03,"A"
"348","colMeans",0.03,"A"
"349","cutree",0.03,"A"
"350","detectCores",0.03,"A"
"351","library.dynam.unload",0.03,"A"
"352","logical",0.03,"A"
"353","outer",0.03,"A"
"354","pmatch",0.03,"A"
"355","scale_colour_manual",0.03,"A"
"356","scale_x_continuous",0.03,"A"
"357","Sys.info",0.03,"A"
"358","addVigs2WinMenu",0.03,"A"
"359","aes_string",0.03,"A"
"360","approx",0.03,"A"
"361","as.logical",0.03,"A"
"362","colors",0.03,"A"
"363","combine",0.03,"A"
"364","expand.grid",0.03,"A"
"365","featureData",0.03,"A"
"366","file_ext",0.03,"A"
"367","geom_bar",0.03,"A"
"368","gpar",0.03,"A"
"369","group_by",0.03,"A"
"370","lower.tri",0.03,"A"
"371","mget",0.03,"A"
"372","optim",0.03,"A"
"373","readGAlignments",0.03,"A"
"374","regexpr",0.03,"A"
"375","rowRanges",0.03,"A"
"376","runValue",0.03,"A"
"377","scale_x_discrete",0.03,"A"
"378","selectInput",0.03,"A"
"379","setClassUnion",0.03,"A"
"380","smooth.spline",0.03,"A"
"381","V",0.03,"A"
"382","Views",0.03,"A"
"383",".C",0.02,"A"
"384","aggregate",0.02,"A"
"385","all.equal",0.02,"A"
"386","coef",0.02,"A"
"387","colData",0.02,"A"
"388","date",0.02,"A"
"389","deparse",0.02,"A"
"390","dev.new",0.02,"A"
"391","f",0.02,"A"
"392","file.remove",0.02,"A"
"393","foreach",0.02,"A"
"394","glm",0.02,"A"
"395","I",0.02,"A"
"396","is.function",0.02,"A"
"397","is.integer",0.02,"A"
"398","kmeans",0.02,"A"
"399","library",0.02,"A"
"400","mode",0.02,"A"
"401","path",0.02,"A"
"402","postscript",0.02,"A"
"403","replicate",0.02,"A"
"404","scale_color_manual",0.02,"A"
"405","subsetByOverlaps",0.02,"A"
"406","SummarizedExperiment",0.02,"A"
"407","svd",0.02,"A"
"408","transcripts",0.02,"A"
"409","trunc",0.02,"A"
"410","weighted.mean",0.02,"A"
"411","annotation",0.02,"A"
"412","complete.cases",0.02,"A"
"413","dir",0.02,"A"
"414","double",0.02,"A"
"415","element_blank",0.02,"A"
"416","environment",0.02,"A"
"417","fisher.test",0.02,"A"
"418","fitted",0.02,"A"
"419","formals",0.02,"A"
"420","geom_text",0.02,"A"
"421","gray",0.02,"A"
"422","ks.test",0.02,"A"
"423","library.dynam",0.02,"A"
"424","lmFit",0.02,"A"
"425","nodes",0.02,"A"
"426","normalizePath",0.02,"A"
"427","palette",0.02,"A"
"428","pretty",0.02,"A"
"429","prototype",0.02,"A"
"430","relist",0.02,"A"
"431","renderPlot",0.02,"A"
"432","reorder",0.02,"A"
"433","resize",0.02,"A"
"434","rowVars",0.02,"A"
"435","search",0.02,"A"
"436","sin",0.02,"A"
"437","sparseMatrix",0.02,"A"
"438","strwidth",0.02,"A"
"439","subseq",0.02,"A"
"440","textConnection",0.02,"A"
"441","textInput",0.02,"A"
"442","toJSON",0.02,"A"
"443","trimws",0.02,"A"
"444","useMart",0.02,"A"
"445","wilcox.test",0.02,"A"
"446","arrows",0.02,"A"
"447","as.dendrogram",0.02,"A"
"448","colorRamp",0.02,"A"
"449","DNAStringSet",0.02,"A"
"450","ecdf",0.02,"A"
"451","elementMetadata",0.02,"A"
"452","facet_wrap",0.02,"A"
"453","file.copy",0.02,"A"
"454","geom_boxplot",0.02,"A"
"455","grid.arrange",0.02,"A"
"456","grid.draw",0.02,"A"
"457","guide_legend",0.02,"A"
"458","makeCluster",0.02,"A"
"459","notes",0.02,"A"
"460","pf",0.02,"A"
"461","plot.window",0.02,"A"
"462","plotOutput",0.02,"A"
"463","proc.time",0.02,"A"
"464","qchisq",0.02,"A"
"465","readDNAStringSet",0.02,"A"
"466","readline",0.02,"A"
"467","row",0.02,"A"
"468","rowMedians",0.02,"A"
"469","rpois",0.02,"A"
"470","runLength",0.02,"A"
"471","seq.int",0.02,"A"
"472","sidebarPanel",0.02,"A"
"473","sink",0.02,"A"
"474","sliderInput",0.02,"A"
"475","Sys.sleep",0.02,"A"
"476","tabulate",0.02,"A"
"477","terms",0.02,"A"
"478","topTable",0.02,"A"
"479","UseMethod",0.02,"A"
"480","varMetadata",0.02,"A"
"481","write.csv",0.02,"A"
"482","writeBin",0.02,"A"
"483","ylim",0.02,"A"
"484",".Deprecated",0.02,"A"
"485","assay",0.02,"A"
"486","bind_rows",0.02,"A"
"487","chromosome",0.02,"A"
"488","col",0.02,"A"
"489","cos",0.02,"A"
"490","counts",0.02,"A"
"491","dev.cur",0.02,"A"
"492","dev.interactive",0.02,"A"
"493","dirname",0.02,"A"
"494","eigen",0.02,"A"
"495","elementNROWS",0.02,"A"
"496","fData",0.02,"A"
"497","file.info",0.02,"A"
"498","flush.console",0.02,"A"
"499","formula",0.02,"A"
"500","fromJSON",0.02,"A"
"501","getURL",0.02,"A"
"502","grid.newpage",0.02,"A"
"503","grid.text",0.02,"A"
"504","heatmap.2",0.02,"A"
"505","is.nan",0.02,"A"
"506","noquote",0.02,"A"
"507","observeEvent",0.02,"A"
"508","open",0.02,"A"
"509","path.expand",0.02,"A"
"510","phyper",0.02,"A"
"511","pnbinom",0.02,"A"
"512","popViewport",0.02,"A"
"513","ppois",0.02,"A"
"514","reactive",0.02,"A"
"515","readRDS",0.02,"A"
"516","registerDoParallel",0.02,"A"
"517","renderUI",0.02,"A"
"518","rnbinom",0.02,"A"
"519","rowData",0.02,"A"
"520","rug",0.02,"A"
"521","runApp",0.02,"A"
"522","saveRDS",0.02,"A"
"523","scale_fill_gradient",0.02,"A"
"524","scale_fill_gradientn",0.02,"A"
"525","scanBam",0.02,"A"
"526","scanBamHeader",0.02,"A"
"527","score",0.02,"A"
"528","segment",0.02,"A"
"529","Seqinfo",0.02,"A"
"530","seqlevelsStyle",0.02,"A"
"531","SerialParam",0.02,"A"
"532","set",0.02,"A"
"533","shinyApp",0.02,"A"
