"","autor","funkcja","pakiet"
"1","Willem Talloen","options","package:base"
"2","Willem Talloen","packageStartupMessage","package:base"
"3","Willem Talloen","paste","package:base"
"4","Willem Talloen","packageDescription","package:utils"
"5","Willem Talloen","convertHeight",NA
"6","Willem Talloen","current.viewport",NA
"7","Willem Talloen","c","package:base"
"8","Willem Talloen","ifelse","package:base"
"9","Willem Talloen","is.null","package:base"
"10","Willem Talloen","is.numeric","package:base"
"11","Willem Talloen","length","package:base"
"12","Willem Talloen","log10","package:base"
"13","Willem Talloen","is","package:methods"
"14","Willem Talloen","t.test","package:stats"
"15","Willem Talloen","return","package:base"
"16","Willem Talloen","dataViewport",NA
"17","Willem Talloen","editGrob",NA
"18","Willem Talloen","gEdit",NA
"19","Willem Talloen","gEditList",NA
"20","Willem Talloen","gpar",NA
"21","Willem Talloen","max","package:base"
"22","Willem Talloen","names",".GlobalEnv"
"23","Willem Talloen","order","package:base"
"24","Willem Talloen","range","package:base"
"25","Willem Talloen","rep","package:base"
"26","Willem Talloen","seq","package:base"
"27","Willem Talloen","signif","package:base"
"28","Willem Talloen","standardGeneric","package:base"
"29","Willem Talloen","stop","package:base"
"30","Willem Talloen","which","package:base"
"31","Willem Talloen","levels","package:base"
"32","Willem Talloen","list","package:base"
"33","Willem Talloen","mean","package:base"
"34","Willem Talloen","ncol","package:base"
"35","Willem Talloen","nlevels","package:base"
"36","Willem Talloen","nrow","package:base"
"37","Willem Talloen","rownames","package:base"
"38","Willem Talloen","t","package:base"
"39","Willem Talloen","setGeneric","package:methods"
"40","Willem Talloen","setMethod","package:methods"
"41","Willem Talloen","grid.draw",NA
"42","Willem Talloen","grid.newpage",NA
"43","Willem Talloen","grid.points",NA
"44","Willem Talloen","grid.pretty",NA
"45","Willem Talloen","grid.text",NA
"46","Willem Talloen","grid.yaxis",NA
"47","Willem Talloen","grobWidth",NA
"48","Willem Talloen","plotViewport",NA
"49","Willem Talloen","pushViewport",NA
"50","Willem Talloen","textGrob",NA
"51","Willem Talloen","unit",NA
"52","Willem Talloen","volcanoplotter",NA
"53","Willem Talloen","xaxisGrob",NA
"54","Willem Talloen","package.version",NA
"55","Willem Talloen","pData",NA
"56","Willem Talloen","popViewport",NA
"57","Willem Talloen","viewport",NA
"58","Willem Talloen","splitTitle",NA
"59","Willem Talloen","unit.c",NA
"60","Willem Talloen","table","package:base"
"61","Willem Talloen","warning","package:base"
"62","Willem Talloen","round","package:base"
"63","Willem Talloen","sapply","package:base"
"64","Willem Talloen","stopifnot","package:base"
"65","Willem Talloen","strsplit","package:base"
"66","Willem Talloen","substr","package:base"
"67","Willem Talloen","substring","package:base"
"68","Willem Talloen","sum","package:base"
"69","Willem Talloen","tolower","package:base"
"70","Willem Talloen","try","package:base"
"71","Willem Talloen","unique","package:base"
"72","Willem Talloen","unlist","package:base"
"73","Willem Talloen","vector","package:base"
"74","Willem Talloen","hcl","package:grDevices"
"75","Willem Talloen","rainbow","package:grDevices"
"76","Willem Talloen","cor","package:stats"
"77","Willem Talloen","cor.test","package:stats"
"78","Willem Talloen","symnum","package:stats"
"79","Willem Talloen","hclust","package:stats"
"80","Willem Talloen","order.dendrogram","package:stats"
"81","Willem Talloen","reorder","package:stats"
"82","Willem Talloen","legend","package:graphics"
"83","Willem Talloen","par","package:graphics"
"84","Willem Talloen","lines","package:graphics"
"85","Willem Talloen","matplot","package:graphics"
"86","Willem Talloen","mtext","package:graphics"
"87","Willem Talloen","plot","package:graphics"
"88","Willem Talloen","points","package:graphics"
"89","Willem Talloen","text","package:graphics"
"90","Willem Talloen","rect","package:graphics"
"91","Willem Talloen","title","package:graphics"
"92","Willem Talloen","densCols","package:grDevices"
"93","Willem Talloen","rgb","package:grDevices"
"94","Willem Talloen","png","package:grDevices"
"95","Willem Talloen","x11","package:grDevices"
"96","Willem Talloen","signature","package:methods"
"97","Willem Talloen","union","package:base"
"98","Willem Talloen","exprs",NA
"99","Willem Talloen","featureData",NA
"100","Willem Talloen","invisible","package:base"
"101","Willem Talloen","rank","package:base"
"102","Willem Talloen","featureNames",NA
"103","Willem Talloen","performance",NA
"104","Willem Talloen","prediction",NA
"105","Willem Talloen","pamr.train",NA
"106","Willem Talloen","rev","package:base"
"107","Willem Talloen","row.names","package:base"
"108","Willem Talloen","min","package:base"
"109","Willem Talloen","print","package:base"
"110","Willem Talloen","sqrt","package:base"
"111","Willem Talloen","trunc","package:base"
"112","Willem Talloen","setOldClass","package:methods"
"113","Willem Talloen","axis","package:graphics"
"114","Willem Talloen","segments","package:graphics"
"115","Willem Talloen","abs","package:base"
"116","Willem Talloen","cat","package:base"
"117","Willem Talloen","cbind.data.frame","package:base"
"118","Willem Talloen","class","package:base"
"119","Willem Talloen","colnames","package:base"
